id, codigo, nome, tipo, cargaHoraria
1,BLU3100,Introdução à Engenharia de Controle e Automação,Ob,72
2,BLU3101,Introdução à Informática para Automação,Ob,72
3,BLU6001,Cálculo I,Ob,108
4,BLU6002,Desenho Técnico para Engenharia,Ob,72
5,BLU6905,Geometria Analítica e Álgebra Linear,Ob,108
6,BLU3201,Sistemas Digitais,Ob,72
7,BLU3202,Algoritmos e Estruturas de Dados,Ob,72
8,BLU6004,Cálculo II,Ob,108
9,BLU6106,Física I,Ob,72
10,BLU6109,Física II,Ob,72
11,BLU6206,Física Experimental I,Ob,36
12,BLU6209,Física Experimental II,Ob,36
13,BLU3301,Química Tecnológica,Ob,72
14,BLU3302,Microprocessadores,Ob,72
15,BLU6008,Cálculo III,Ob,72
16,BLU6011,Mecânica dos Sólidos,Ob,72
17,BLU6110,Física III,Ob,72
18,BLU6210,Física Experimental III,Ob,36
19,BLU7000,Ciência-Tecnologia-Sociedade,Ob,72
20,BLU3401,Sinais e Sistemas Lineares,Ob,108
21,BLU3402,Circuitos Elétricos para Controle e Automação,Ob,108
22,BLU3403,Sistemas de Automação,Ob,90
23,BLU6013,Estatística,Ob,72
24,BLU6014,Fenômenos de Transporte,Ob,72
25,BLU3501,Modelagem e Simulação de Processos,Ob,108
26,BLU3502,Eletricidade Industrial,Ob,72
27,BLU3503,Eletrônica Aplicada,Ob,108
28,BLU3504,Modelagem análise e avaliação de Desempenho de Sistemas Automatizados,Ob,90
29,BLU3505,Redes Industriais,Ob,72
30,BLU3602,Sistemas de Controle,Ob,108
31,BLU3603,Acionamentos Hidráulicos e Pneumáticos,Ob,72
32,BLU6004,Acionamentos Elétricos,Ob,72
33,BLU7001,Tecnologia Inovação Desenvolvimento e Sociedade,Ob,72
34,BLU7006,Fundamentos da Metodologia Científica,Ob,36
35,BLU8000,Administração,Ob,36
36,BLU8001,Microeconomia,Ob,36
37,BLU3700,Metrologia e Instrumentação para Automação,Ob,90
38,BLU3702,Projeto Integrador,Ob,72
39,BLU3704,Introdução à Robótica Industrial,Ob,72
40,BLU3705,Automação da Manufatura,Ob,72
41,BLU3706,Gestão de Projetos,Ob,72
42,BLU3800,Gestão Ambiental,Ob,54
43,BLU3900,Projeto Especializado,Ob,108
44,BLU7025,Segurança do Trabalho,Ob,36
45,BLU7210,Projeto Fim de Curso - TCC,Ob,72
46,BLU7215,Projeto Fim de Curso - Estágio Curricular Obrigatório,Ob,396
47,BLU3001,Atividades Acadêmico-Científico-Culturais,Ob,144
48,BLU3002,Identificação e Controle Adaptativo de Sistemas,Espc,72
49,BLU3003,Controle no Espaço de Estados,Espc,72
50,BLU3004,Introdução ao Controle Preditivo,Espc,36
51,BLU3008,Processos Industriais,Espc,72
52,BLU3013,Mecanismos,Espm,72
53,BLU3014,Eletrônica de Potência,Espm,108
54,BLU3015,Processamento Digital de Sinais,Espm,72
55,BLU3020,Sistemas Computacionais para Controle e Automação,Espcom,72
56,BLU3023,Programação Orientada a Objetos,Espcom,72
57,BLU3024,Integração de Sistemas para Automação,Espcom,108
58,BLU1706,Engenharia da Qualidade,Ope,72
59,BLU3031,Planejamento Programação e Controle da Produção,Ope,72
60,BLU3033,Introdução à Otimização,Ope,72
61,BLU3040,Visão Computacional em Robótica,Ope,72
62,BLU3041,Robótica Móvel,Ope,72
63,BLU3042,Eletrônica Avançada,Ope,72
64,BLU3043,Análise e Controle de Sistemas Não Lineares,Ope,72
65,BLU3044,Tópicos Avançados em Redes de Telecomunicações,Ope,72
66,BLU3045,Engenharia de Software,Ope,72
67,BLU3046,Sistemas Embarcados,Ope,72
68,BLU3047,Tópicos Especiais em Sistemas Computacional I,Ope,72
69,BLU3048,Tópicos Especiais em Mecatrônica I,Ope,72
70,BLU3049,Tópicos Especiais em Controle de Processos I,Ope,72
71,BLU8002,Inteligência Artificial,Ope,72
72,BLU7003,Teoria do Conhecimento para Engenharia,Ope,72
73,BLU7004,Tecnologias para o Desenvolvimento Inclusivo,Ope,72
74,BLU7005,Sociedade Tecnologia e História,Ope,72
75,BLU7991,Língua Brasileira de Sinais I,Ope,36
76,BLU7992,Língua Brasileira de Sinais II,Ope,36
77,BLU7995,Introdução aos Sistemas de Controle,Ope,36
